2024-03-18 17:44:10,700 INFO    StreamThr :1625 [internal.py:wandb_internal():86] W&B internal server running at pid: 1625, started at: 2024-03-18 17:44:10.699496
2024-03-18 17:44:10,701 DEBUG   HandlerThread:1625 [handler.py:handle_request():146] handle_request: status
2024-03-18 17:44:10,707 INFO    WriterThread:1625 [datastore.py:open_for_write():87] open: /home/eynardmaxime1/Tree_Recognition/wandb/run-20240318_174410-rrudqj89/run-rrudqj89.wandb
2024-03-18 17:44:10,707 DEBUG   SenderThread:1625 [sender.py:send():378] send: header
2024-03-18 17:44:10,736 DEBUG   SenderThread:1625 [sender.py:send():378] send: run
2024-03-18 17:44:11,156 INFO    SenderThread:1625 [dir_watcher.py:__init__():211] watching files in: /home/eynardmaxime1/Tree_Recognition/wandb/run-20240318_174410-rrudqj89/files
2024-03-18 17:44:11,156 INFO    SenderThread:1625 [sender.py:_start_run_threads():1099] run started: rrudqj89 with start time 1710783850.699539
2024-03-18 17:44:11,168 DEBUG   HandlerThread:1625 [handler.py:handle_request():146] handle_request: check_version
2024-03-18 17:44:11,168 DEBUG   SenderThread:1625 [sender.py:send_request():405] send_request: check_version
2024-03-18 17:44:11,248 DEBUG   HandlerThread:1625 [handler.py:handle_request():146] handle_request: run_start
2024-03-18 17:44:11,260 DEBUG   HandlerThread:1625 [system_info.py:__init__():26] System info init
2024-03-18 17:44:11,260 DEBUG   HandlerThread:1625 [system_info.py:__init__():41] System info init done
2024-03-18 17:44:11,260 INFO    HandlerThread:1625 [system_monitor.py:start():194] Starting system monitor
2024-03-18 17:44:11,260 INFO    SystemMonitor:1625 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-18 17:44:11,261 INFO    HandlerThread:1625 [system_monitor.py:probe():214] Collecting system info
2024-03-18 17:44:11,261 INFO    SystemMonitor:1625 [interfaces.py:start():190] Started cpu monitoring
2024-03-18 17:44:11,262 INFO    SystemMonitor:1625 [interfaces.py:start():190] Started disk monitoring
2024-03-18 17:44:11,262 INFO    SystemMonitor:1625 [interfaces.py:start():190] Started gpu monitoring
2024-03-18 17:44:11,263 INFO    SystemMonitor:1625 [interfaces.py:start():190] Started memory monitoring
2024-03-18 17:44:11,264 INFO    SystemMonitor:1625 [interfaces.py:start():190] Started network monitoring
2024-03-18 17:44:11,275 DEBUG   HandlerThread:1625 [system_info.py:probe():150] Probing system
